"subject"	"activity"	"axial"	"stats"	"tBodyAcc"	"tGravityAcc"	"tBodyGyro"
1	"WALKING"	"X"	"mean"	0.277330758736842	0.935223201473684	-0.041830963526
2	"WALKING"	"X"	"mean"	0.276426586440678	0.91301733338983	-0.0530258157347458
3	"WALKING"	"X"	"mean"	0.275567462068966	0.936506743275862	-0.0256405192517241
4	"WALKING"	"X"	"mean"	0.278582015166667	0.963999696833333	-0.0317982557795
5	"WALKING"	"X"	"mean"	0.27784234625	0.972624959821429	-0.0488919896632143
6	"WALKING"	"X"	"mean"	0.283658868070175	0.958067455087719	-0.025509618645614
7	"WALKING"	"X"	"mean"	0.275592961754386	0.932566472280702	0.00228835208526316
8	"WALKING"	"X"	"mean"	0.27468631	0.913586347916667	0.0235088228254167
9	"WALKING"	"X"	"mean"	0.278502842115385	0.951867079615385	-0.0808360598653846
10	"WALKING"	"X"	"mean"	0.278574076603774	0.963092149811321	0.0106894976215094
11	"WALKING"	"X"	"mean"	0.271821892881356	0.946468451355932	-0.0426928995457627
12	"WALKING"	"X"	"mean"	0.2771286656	0.9668735148	-0.1045136708758
13	"WALKING"	"X"	"mean"	0.275883130350877	0.910855709298246	-0.0174207634701754
14	"WALKING"	"X"	"mean"	0.271959598644068	0.802973961525424	-0.00347655062271186
15	"WALKING"	"X"	"mean"	0.273899207962963	0.951524391481481	-0.0554883847662963
16	"WALKING"	"X"	"mean"	0.276023564509804	0.925981326078431	-0.0151721912792157
17	"WALKING"	"X"	"mean"	0.272341855245902	0.92811236852459	-0.00922265519180328
18	"WALKING"	"X"	"mean"	0.273887758571429	0.92386524875	-0.0399399716026786
19	"WALKING"	"X"	"mean"	0.273931172307692	0.935222559230769	-0.0274970979894231
20	"WALKING"	"X"	"mean"	0.272589336470588	0.899965205686274	-0.0234104225980392
21	"WALKING"	"X"	"mean"	0.279183526730769	0.862524800961538	-0.0459323393842308
22	"WALKING"	"X"	"mean"	0.27886459	0.936096410434783	0.0007771571
23	"WALKING"	"X"	"mean"	0.273211884237288	0.939809688644068	-0.0631156870355932
24	"WALKING"	"X"	"mean"	0.276980816034483	0.95970108137931	-0.0545126870724138
25	"WALKING"	"X"	"mean"	0.278992759054054	0.937483114459459	-0.0156305378067568
26	"WALKING"	"X"	"mean"	0.279264443728814	0.960647754576271	-0.00334085938813559
27	"WALKING"	"X"	"mean"	0.276849485438596	0.944759287368421	-0.08558835714
28	"WALKING"	"X"	"mean"	0.281228223888889	0.942930275555556	-0.105896207861111
29	"WALKING"	"X"	"mean"	0.271999916792453	0.96237438509434	-0.00795668167188679
30	"WALKING"	"X"	"mean"	0.276406758	0.965217551076923	-0.0459505355861538
1	"WALKING_UPSTAIRS"	"X"	"mean"	0.255461689622641	0.89335109754717	0.050549379754717
2	"WALKING_UPSTAIRS"	"X"	"mean"	0.247164790395833	0.790717418541667	-0.0576912634583333
3	"WALKING_UPSTAIRS"	"X"	"mean"	0.260819873067797	0.883533436101695	0.0721980309322034
4	"WALKING_UPSTAIRS"	"X"	"mean"	0.270876696730769	0.946264314423077	0.0393825198942308
5	"WALKING_UPSTAIRS"	"X"	"mean"	0.268459469914894	0.936821834893617	0.0395191121489362
6	"WALKING_UPSTAIRS"	"X"	"mean"	0.268229355098039	0.913632241568627	-0.0767406825588235
7	"WALKING_UPSTAIRS"	"X"	"mean"	0.248706923078431	0.81874656	-0.138778108029412
8	"WALKING_UPSTAIRS"	"X"	"mean"	0.258880152048781	0.860368718780488	0.19270447595122
9	"WALKING_UPSTAIRS"	"X"	"mean"	0.262436475714286	0.902647777755102	-0.16396719
10	"WALKING_UPSTAIRS"	"X"	"mean"	0.267121853404255	0.931861027446809	0.0733447168425532
11	"WALKING_UPSTAIRS"	"X"	"mean"	0.263775859277778	0.892626155555556	-0.0820909701727778
12	"WALKING_UPSTAIRS"	"X"	"mean"	0.272970338653846	0.938371473269231	-0.0931234101769231
13	"WALKING_UPSTAIRS"	"X"	"mean"	0.258203939581818	0.847634313454545	-0.13829376226
14	"WALKING_UPSTAIRS"	"X"	"mean"	0.26242106612963	0.688256122222222	0.0813841685037037
15	"WALKING_UPSTAIRS"	"X"	"mean"	0.270187595833333	0.918544812291667	0.0903340029875
16	"WALKING_UPSTAIRS"	"X"	"mean"	0.255986102627451	0.826874282745098	0.0718408878078431
17	"WALKING_UPSTAIRS"	"X"	"mean"	0.252604768583333	0.853530565833333	-0.0304250571395833
18	"WALKING_UPSTAIRS"	"X"	"mean"	0.265401201896552	0.883330258448276	-0.0470683915017241
19	"WALKING_UPSTAIRS"	"X"	"mean"	0.242118808925	0.8294283725	0.0388537087875
20	"WALKING_UPSTAIRS"	"X"	"mean"	0.252098317156863	0.777095717058824	0.0659193258862745
21	"WALKING_UPSTAIRS"	"X"	"mean"	0.265194544680851	0.781177210851064	0.062608688893617
22	"WALKING_UPSTAIRS"	"X"	"mean"	0.248391534566667	0.889454382857143	0.13497880785381
23	"WALKING_UPSTAIRS"	"X"	"mean"	0.249995171031373	0.843438810196078	0.0957940245941176
24	"WALKING_UPSTAIRS"	"X"	"mean"	0.269881106779661	0.906369500508475	0.0883163772152542
25	"WALKING_UPSTAIRS"	"X"	"mean"	0.277995411384615	0.927693239538462	0.0556121923307692
26	"WALKING_UPSTAIRS"	"X"	"mean"	0.272691394545455	0.942095257090909	-0.0247950825654545
27	"WALKING_UPSTAIRS"	"X"	"mean"	0.265770253921569	0.868000278627451	-0.0940344886803922
28	"WALKING_UPSTAIRS"	"X"	"mean"	0.262005841764706	0.854508231764706	-0.129362970764706
29	"WALKING_UPSTAIRS"	"X"	"mean"	0.265423066877551	0.929258953877551	0.0931989463020408
30	"WALKING_UPSTAIRS"	"X"	"mean"	0.271415642261538	0.93182983	-0.00355974576923077
1	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.289188320408163	0.931874418979592	-0.0350781902989796
2	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.27761534806383	0.861831345531915	-0.11594735287234
